Location,price_php_millions,Bedrooms,Bathrooms,Floor Area,Land Area,Town/Barangay,Municipality/City,Province/NCR
"Cirilo Street, Isidora Hills Subdivision Holy Spirit, Quezon City",26.0,4.0,3.0,110.0,476.0,Holy Spirit,Quezon City,Metro Manila
"Matandang Balara, Quezon City",168.0,5.0,5.0,820.0,476.0,Matandang Balara,Quezon City,Metro Manila
"Almanza Dos, Las Pinas",55.0,3.0,,334.0,564.0,Almanza Dos,Las Piñas,Metro Manila
Quezon City,35.53,4.0,3.0,198.0,111.0,,Quezon City,Metro Manila
"Diliman, Quezon City",110.0,4.0,5.0,450.0,800.0,Diliman,Quezon City,Metro Manila
"San Roque, Pasay",120.0,11.0,7.0,,730.16,San Roque,Pasay City,Metro Manila
"Bagumbayan, Tanauan",1.84,2.0,1.0,44.5,58.5,Bagumbayan,Tanauan City,Batangas
"Molino III, Bacoor",8.5,4.0,3.0,180.0,200.0,Molino III,Bacoor,Cavite
"Ayala Alabang, Muntinlupa",310.0,5.0,5.0,1000.0,700.0,New Alabang Village,Muntinlupa,Metro Manila
"McKinley Hill Dr, 1634 Taguig City, Philippines Pinagsama, Taguig",112.0,3.0,4.0,420.0,198.0,Pinagsama,Taguig,Metro Manila
"Philippines, Caloocan City North, Barangay 172, Thaddevs Kaligayahan, Quezon City",6.0,3.0,2.0,155.0,100.0,Barangay 172,Caloocan,Metro Manila
"B.F. Homes, Paranaque",26.5,4.0,4.0,350.0,293.0,B. F. Homes,Parañaque,Metro Manila
"Saint Ignatius, Quezon City",73.78,3.0,3.0,250.0,434.0,Saint Ignatius,Quezon City,Metro Manila
"Pinacpinacan, San Rafael",1.2,2.0,1.0,44.0,36.0,Pinacpinacan,San Rafael,Bulacan
"Visayan Village, Tagum",8.01,5.0,3.0,100.0,,Visayan Village,Tagum,Davao del Norte
"Fort Bonifacio, Taguig",63.0,4.0,4.0,172.0,400.0,Fort Bonifacio,Taguig,Metro Manila
"San Sebastian, Hagonoy",4.38,,,215.0,196.0,San Sebastian,Hagonoy,Bulacan
"Marigondon, Lapu-Lapu",7.5,3.0,3.0,180.0,136.0,Marigondon,Lapu-Lapu,Cebu
"Ugong Norte, Quezon City",370.0,4.0,4.0,700.0,899.0,Ugong Norte,Quezon City,Metro Manila
"Kaligayahan, Quezon City",4.2,3.0,2.0,65.0,48.0,Kaligayahan,Quezon City,Metro Manila
"Tranca, Talisay",60.0,5.0,6.0,700.0,400.0,Tranca,Talisay,Batangas
"Manila Southwoods Cabilang Baybay, Carmona",105.0,5.0,5.0,565.0,915.0,Cabilang Baybay,Carmona,Cavite
"San Isidro, Taytay",9.8,4.0,3.0,170.13,82.0,San Isidro,Taytay,Rizal
"Plainview, Mandaluyong",24.0,3.0,2.0,82.0,200.0,Plainview,Mandaluyong City,Metro Manila
"Balibago, Angeles",9.5,3.0,2.0,185.0,320.0,Balibago,Angeles,Pampanga
"Batasan Hills, Quezon City",48.0,5.0,4.0,316.54,353.0,Batasan Hills,Quezon City,Metro Manila
"San Isidro, Taytay",12.5,4.0,4.0,219.84,95.0,San Isidro,Taytay,Rizal
"Paliparan I, Dasmarinas",10.28,5.0,3.0,142.0,168.0,Paliparan I,Dasmariñas,Cavite
"Dau, Mabalacat",27.0,4.0,4.0,350.0,251.0,Barangay Dau,Mabalacat City,Pampanga
"Molino VII, Bacoor",4.6,3.0,2.0,114.0,90.0,Molino VII,Bacoor,Cavite
"M Dela Fuente Sampaloc Manila Sampaloc, Manila",13.0,3.0,,130.0,50.0,Sampaloc,Manila,Metro Manila
"Avida Setting Bacoor Cavite Molino IV, Bacoor",18.0,6.0,6.0,432.0,278.0,Molino IV,Bacoor,Cavite
"Almanza Uno, Las Pinas",8.57,3.0,2.0,124.0,80.0,Almanza Uno,Las Piñas,Metro Manila
"Poblacion, Makati",80.0,4.0,3.0,326.0,326.0,Poblacion,Makati City,Metro Manila
"Dove Street, Banilad, Mandaue City Banilad, Mandaue",50.0,5.0,5.0,300.0,852.0,Banilad,Mandaue,Cebu
"Philippines, Quezon City, Fairview Fairview, Quezon City",7.5,4.0,4.0,138.0,58.0,Fairview,Quezon City,Metro Manila
"Almanza Dos, Las Pinas",79.5,5.0,5.0,542.0,333.0,Almanza Dos,Las Piñas,Metro Manila
"Sun Valley, Paranaque",8.8,3.0,3.0,118.0,66.0,Sun Valley,Parañaque,Metro Manila
"Calumpang Lejos I, Indang",7.5,5.0,5.0,150.0,220.0,Calumpang Lejos I,Indang,Cavite
Calatagan,12.0,5.0,3.0,965.0,965.0,,Calatagan,Batangas
"Marcelo Green Village, Paranaque, National Capital Region, Philippines Marcelo Green Village, Paranaque",26.0,5.0,4.0,271.0,251.0,Marcelo Green,Parañaque,Metro Manila
"Onse, San Juan",15.3,3.0,3.0,143.0,27.0,Onse,San Juan City,Metro Manila
"Bigaa, Cabuyao",16.0,4.0,3.0,370.0,198.0,Bigaa,Cabuyao City,Laguna
"B.F. International Village, Las Pinas",18.5,3.0,3.0,270.0,332.0,B. F. International Village,Las Piñas,Metro Manila
"Teachers Village East, Quezon City",23.0,3.0,4.0,277.06,68.0,Diliman,Quezon City,Metro Manila
"Paradahan I, Tanza",1.85,2.0,1.0,39.0,60.0,Paradahan I,Tanza,Cavite
"Panungyanan, General Trias",4.0,4.0,2.0,81.0,110.0,Panungyanan,General Trias,Cavite
"Panungyanan, General Trias",4.0,4.0,2.0,81.0,110.0,Panungyanan,General Trias,Cavite
"Buckingham, 1771 Muntinlupa, Philippines Cupang, Muntinlupa",90.0,5.0,5.0,700.0,400.0,Cupang,Muntinlupa,Metro Manila
"Tandang Sora, Quezon City, National Capital Region, Philippines Tandang Sora, Quezon City",8.2,3.0,2.0,112.0,60.0,Pasong Tamo,Quezon City,Metro Manila
"Merville, Paranaque",24.0,3.0,2.0,250.0,348.0,Merville,Parañaque,Metro Manila
"Natipuan, Nasugbu",35.0,6.0,6.0,434.0,405.0,Natipuan,Nasugbu,Batangas
"Bonuan Boquig, Dagupan",4.92,3.0,2.0,80.0,180.0,Bonuan Boquig,Dagupan City,Pangasinan
"Pinagbuhatan, Pasig",30.0,6.0,5.0,500.0,204.0,Pinagbuhatan,Pasig,Metro Manila
"Kayumanggi, Lipa",4.06,3.0,2.0,102.0,129.0,Kayumanggi,Lipa City,Batangas
"Tunasan, Muntinlupa",63.5,7.0,7.0,700.0,460.0,Tunasan,Muntinlupa,Metro Manila
"Bagong Nayon, Antipolo",18.0,4.0,3.0,204.0,254.0,Bagong Nayon,Antipolo,Rizal
"Mambugan, Antipolo",25.0,5.0,5.0,300.0,610.0,Mambugan,Antipolo,Rizal
"Matandang Balara, Quezon City",168.0,5.0,5.0,820.0,480.0,Matandang Balara,Quezon City,Metro Manila
"Woodridge Park Subd., Ma-a, Davao City Ma-A, Davao",20.0,3.0,3.0,160.0,169.0,Talomo,Davao City,Davao del Sur
"Cresta Verde Ave, Quezon City, Philippines Santa Monica, Quezon City",5.4,3.0,2.0,70.0,67.5,Santa Monica,Quezon City,Metro Manila
"Merville, Paranaque",20.0,6.0,4.0,260.0,150.0,Merville,Parañaque,Metro Manila
"Holy Spirit, Quezon City",10.5,3.0,2.0,180.0,176.0,Holy Spirit,Quezon City,Metro Manila
"Mabini, Lipa",4.5,3.0,2.0,80.0,80.0,Mabini,Lipa City,Batangas
"Lawaan II, Talisay",16.0,5.0,4.0,400.0,180.0,Lawaan II,Talisay,Cebu
"Busay, Cebu",120.0,5.0,9.0,1500.0,1458.0,Busay,Cebu City,Cebu
"Pilar, Las Pinas",8.6,3.0,3.0,130.0,80.0,Pilar,Las Piñas,Metro Manila
"Liptong, Bacong",12.0,4.0,3.0,300.0,3267.0,Liptong,Bacong,Negros Oriental
"Buckingham, 1771 Muntinlupa, Philippines Cupang, Muntinlupa",43.0,4.0,5.0,400.0,380.0,Cupang,Muntinlupa,Metro Manila
"Talon Kuatro, Las Pinas",17.5,4.0,4.0,167.0,68.0,Talon Kuatro,Las Piñas,Metro Manila
"Santa Lucia, Pasig",8.53,3.0,3.0,133.0,90.0,Santa Lucia,Pasig,Metro Manila
"McKinley Hill Dr, 1634 Taguig City, Philippines Pinagsama, Taguig",112.0,3.0,4.0,420.0,198.0,Pinagsama,Taguig,Metro Manila
"Buckingham, 1771 Muntinlupa, Philippines Cupang, Muntinlupa",43.0,4.0,5.0,380.0,400.0,Cupang,Muntinlupa,Metro Manila
"White Plains, Quezon City",153.6,5.0,4.0,,768.0,White Plains,Quezon City,Metro Manila
"Almanza Uno, Las Pinas",16.5,5.0,5.0,300.0,194.0,Almanza Uno,Las Piñas,Metro Manila
"Almanza Uno, Las Pinas",73.9,8.0,5.0,548.0,662.0,Almanza Uno,Las Piñas,Metro Manila
"Ayala Alabang, Muntinlupa",420.0,5.0,6.0,1600.0,868.0,New Alabang Village,Muntinlupa,Metro Manila
"Woodridge Park Ma-A, Davao",20.0,4.0,3.0,180.0,180.0,Talomo,Davao City,Davao del Sur
"Western Bicutan, Taguig",112.0,4.0,5.0,410.0,200.0,Western Bicutan,Taguig,Metro Manila
"Don Bosco, Paranaque",14.0,4.0,3.0,200.0,120.0,Don Bosco,Parañaque,Metro Manila
"Woodridge Park Ma-A, Davao",20.0,4.0,3.0,180.0,180.0,Talomo,Davao City,Davao del Sur
"Sikatuna Village, Quezon City",16.5,2.0,3.0,170.0,100.0,Diliman,Quezon City,Metro Manila
"Teachers Village East, Quezon City",23.0,3.0,4.0,152.0,53.0,Diliman,Quezon City,Metro Manila
"TALON DOS BF RESORT Talon Dos, Las Pinas",14.3,4.0,3.0,186.0,110.0,Talon Dos,Las Piñas,Metro Manila
"MacArthur Hwy Longos, Malolos",4.0,2.0,2.0,80.0,88.0,Longos,Malolos City,Bulacan
"Bitas, Cabanatuan",5.42,3.0,2.0,70.0,120.0,Bitas,Cabanatuan City,Nueva Ecija
"Lagtang, Talisay",18.0,4.0,3.0,240.0,334.0,Lagtang,Talisay,Cebu
"Inchican, Silang",55.0,4.0,6.0,400.0,530.0,Inchican,Silang,Cavite
"Bucao St., Nia Village Tandang Sora , Quezon City Tandang Sora, Quezon City",9.8,3.0,3.0,119.0,64.0,Tandang Sora,Quezon City,Metro Manila
"Bagacay, Dumaguete City, Central Visayas, Philippines Bagacay, Dumaguete",11.0,4.0,4.0,90.0,526.0,Bagacay,Dumaguete City,Negros Oriental
"Merville, Paranaque",30.0,3.0,2.0,212.0,377.0,Merville,Parañaque,Metro Manila
"Ayala Alabang, Muntinlupa",199.0,5.0,5.0,600.0,625.0,New Alabang Village,Muntinlupa,Metro Manila
"Bonuan Boquig, Dagupan",6.75,4.0,2.0,100.0,275.0,Bonuan Boquig,Dagupan City,Pangasinan
"New Manila, Quezon City",90.0,5.0,5.0,489.19,198.0,Mariana,Quezon City,Metro Manila
"Greenmeadows Subdivision, Ugong Norte, Murphy, Quezon City, 1110 Ugong Norte, Quezon City",180.0,4.0,4.0,358.25,866.3,Ugong Norte,Quezon City,Metro Manila
"Monte Vista Subdivision, 1802 Marikina, Philippines Industrial Valley, Marikina",8.5,6.0,7.0,606.25,450.0,Industrial Valley,Marikina,Metro Manila
"Ugong, Pasig",55.0,4.0,3.5,208.0,,Ugong,Pasig,Metro Manila
"Industrial Valley, Marikina",32.0,3.0,3.0,300.0,300.0,Industrial Valley,Marikina,Metro Manila
"McKinley Hill Dr, 1634 Taguig City, Philippines Pinagsama, Taguig",112.0,3.0,4.0,420.0,198.0,Pinagsama,Taguig,Metro Manila
"Valle Verde 4, Pasig",250.0,7.0,7.0,800.0,911.0,Pasig City,Manila,Metro Manila
"San Jose, Mandaluyong",87.0,4.0,3.0,640.0,432.0,San Jose,Mandaluyong City,Metro Manila
"Suarez Ave, Pasig, Philippines Maybunga, Pasig",75.0,5.0,5.0,581.0,653.0,Maybunga,Pasig,Metro Manila
"Bito-On, Iloilo",14.0,3.0,3.0,216.0,260.0,Jaro,Iloilo City,Iloilo
"Salitran IV, Dasmarinas",30.0,6.0,8.0,650.0,300.0,Salitran IV,Dasmariñas,Cavite
"Cuayan, Angeles",23.8,5.0,7.0,342.0,208.0,Cuayan,Angeles,Pampanga
"Hinukay, Baliuag",1.67,2.0,1.0,44.5,,Hinukay,Baliwag,Bulacan
"Moonwalk, Paranaque",150.0,6.0,6.0,800.0,450.0,Moonwalk,Parañaque,Metro Manila
"Angeles, Pampanga Near MQ Mall and NLEX, Pampanga, Philippines Angeles",11.5,4.0,3.0,190.0,120.0,,Angeles,Pampanga
"Buhay na Tubig, Imus",22.5,4.0,3.0,300.0,152.0,Buhay na Tubig,Imus,Cavite
"Salitran III, Dasmarinas",10.98,4.0,3.0,129.0,144.0,Salitran III,Dasmariñas,Cavite
"Cuayan, Angeles",23.8,5.0,7.0,342.0,208.0,Cuayan,Angeles,Pampanga
"Moonwalk, Paranaque",150.0,6.0,6.0,800.0,450.0,Moonwalk,Parañaque,Metro Manila
"South Point, Cabuyao Laguna Diezmo, Cabuyao",12.5,4.0,4.0,200.0,216.0,Diezmo,Cabuyao City,Laguna
"Camp 7, Baguio",25.0,7.0,4.0,250.0,500.0,Camp 7,Baguio,Benguet
"Bacong, Central Visayas, Philippines Sulodpan, Bacong",11.0,4.0,3.0,200.0,1000.0,Sulodpan,Bacong,Negros Oriental
"Blue Ridge A, Quezon City",95.0,4.0,4.0,400.0,412.0,Blue Ridge A,Quezon City,Metro Manila
"Perez Rd Perez, Trece Martires",6.86,4.0,3.0,110.0,211.24,Perez (Lucbanan),Trece Martires City,Cavite
"Dasmarinas, Makati",450.0,5.0,5.0,600.0,630.0,Dasmariñas,Makati City,Metro Manila
Caloocan,3.5,2.0,2.0,,,,Caloocan,Metro Manila
Muntinlupa,420.0,5.0,5.0,1172.0,762.0,,Muntinlupa,Metro Manila
"Ayala Alabang, Muntinlupa",188.0,7.0,7.0,800.0,688.0,New Alabang Village,Muntinlupa,Metro Manila
"Maytunas, San Juan",37.38,3.0,3.0,254.0,77.74,Maytunas,San Juan City,Metro Manila
"Poblacion, Muntinlupa",10.0,3.0,4.0,314.0,157.0,Poblacion,Muntinlupa,Metro Manila
"Sasa, Davao",12.0,6.0,5.0,260.0,300.0,Buhangin,Davao City,Davao del Sur
"Mandurriao, Iloilo",4.8,4.0,2.0,150.0,172.0,Mandurriao,Iloilo City,Iloilo
"Mangnao-Canal, Dumaguete",1.8,2.0,1.0,60.0,80.0,Mangnao-Canal,Dumaguete City,Negros Oriental
"Majada Labas, Calamba",2.71,3.0,1.0,45.0,63.0,Majada Labas,Calamba,Laguna
"Lot 153 Block 3, Road Lot 1, Filomena Subdivision San Rafael, Tarlac",1.14,1.0,1.0,60.0,200.0,San Rafael,Tarlac City,Tarlac
"Robredo Street Carpenter Hill, Koronadal",3.54,2.0,1.0,40.0,88.0,Carpenter Hill,Koronadal,South Cotabato
"Dalig, Antipolo",17.0,4.0,3.0,308.0,250.0,Dalig,Antipolo,Rizal
"Phirst Editions, Kaylaway, Nasugbu, Batangas, Philippines Kaylaway, Nasugbu",5.45,3.0,2.0,99.0,70.0,Kaylaway,Nasugbu,Batangas
"Santo Nino, Lumban",2.5,,,180.0,73.0,Santo Niño,Lumban,Laguna
"Bingag, Dauis",3.5,4.0,2.0,94.0,300.0,Bingag,Dauis,Bohol
"Catalunan Grande, Davao",16.0,5.0,5.0,220.0,345.0,Talomo,Davao City,Davao del Sur
"San Agustin I, Dasmarinas",6.3,6.0,4.0,263.0,120.0,San Agustin I,Dasmariñas,Cavite
"alicante st. visa verde executive village , cainta San Isidro, Cainta",9.5,4.0,3.0,185.0,110.0,San Isidro,Cainta,Rizal
"237 Apitong Street Comembo, Makati",18.0,3.0,2.0,157.38,122.8,Comembo,Makati City,Metro Manila
"San Isidro, General Santos City",2.46,,,70.0,88.0,San Isidro (Lagao 2nd),General Santos City (Dadiangas),South Cotabato
"The Mango Grove, Santo Tomas Batangas Barangay IV, Santo Tomas",3.75,4.0,3.0,109.3,100.0,Barangay IV,Santo Tomas,Batangas
"Ayala Alabang, Muntinlupa",460.0,7.0,7.0,1500.0,900.0,New Alabang Village,Muntinlupa,Metro Manila
"Novaliches, Quezon City",45.0,5.0,5.0,400.0,300.0,Novaliches Proper,Quezon City,Metro Manila
"Batasan Hills, Quezon City",115.0,5.0,6.0,655.0,300.0,Batasan Hills,Quezon City,Metro Manila
"Alapan II-B, Imus",5.57,3.0,2.0,80.0,106.0,Alapan II-B,Imus,Cavite
"Talon Uno, Las Pinas",26.0,4.0,4.0,315.0,204.0,Talon Uno,Las Piñas,Metro Manila
"Tunasan, Muntinlupa",16.88,3.0,2.0,195.0,240.0,Tunasan,Muntinlupa,Metro Manila
"Pondol, Balamban",16.8,3.0,2.0,272.0,471.0,Pondol,Balamban,Cebu
"Paitan-Panoypoy, San Carlos",10.4,,,417.0,2467.0,Paitan-Panoypoy,San Carlos City,Pangasinan
"Molino III, Bacoor",11.06,,,327.0,239.0,Molino III,Bacoor,Cavite
"Bulihan, Malolos",4.38,3.0,2.0,67.0,96.0,Bulihan,Malolos,Bulacan
"Kamuning, Quezon City, National Capital Region, Philippines Kamuning, Quezon City",16.5,3.0,4.0,260.0,80.0,Kamuning,Quezon City,Metro Manila
"Matandang Balara, Quezon City",148.0,5.0,5.0,800.0,1000.0,Matandang Balara,Quezon City,Metro Manila
"Isugan, Bacong, Central Visayas, Philippines Isugan, Bacong",5.0,3.0,2.0,110.0,270.0,Isugan,Bacong,Negros Oriental
"The Mango Grove, Brgy San Roque, Sto Tomas Batangas Barangay IV, Santo Tomas",4.36,4.0,3.0,109.3,150.0,San Roque,Santo Tomas,Batangas
"Maulawin, Pagsanjan",3.4,,,246.23,403.0,Maulawin,Pagsanjan,Laguna
"praverde Paliparan I, Dasmarinas",14.99,5.0,3.0,166.0,169.0,Paliparan I,Dasmariñas,Cavite
"Lantic, Carmona",1.29,1.0,,40.0,40.0,Lantic,Carmona,Cavite
"B.F. International Village, Las Pinas",18.3,4.0,3.0,255.0,203.0,B. F. International Village,Las Piñas,Metro Manila
"Longos, Malolos",3.97,2.0,2.0,74.0,89.0,Longos,Malolos,Bulacan
"Bahay Pare, Meycauayan",3.5,4.0,2.0,80.0,80.0,Bahay Pare,Meycauayan,Bulacan
"McKinley Hill, Taguig",140.0,5.0,6.0,513.0,189.0,Mckinley Hill,Taguig,Metro Manila
"San Jose, Tagaytay",8.5,4.0,3.0,180.0,110.0,San Jose,Tagaytay City,Cavite
"Kapitangan, Paombong",1.91,2.0,1.0,38.0,36.0,Kapitangan,Paombong,Bulacan
"Santa Cruz, Antipolo",14.6,4.0,3.0,300.0,215.0,Santa Cruz,Antipolo,Rizal
"Brgy. Santiago, Gen. Trias, Cavite Santiago, General Trias",1.8,2.0,,52.57,80.0,Santiago,General Trias,Cavite
"San Gregorio, San Pablo",2.1,2.0,1.0,44.0,36.0,San Gregorio,San Pablo City,Laguna
"Sapang Palay, San Jose del Monte",10.67,5.0,3.0,166.0,143.0,Sapang Palay,San Jose del Monte,Bulacan
"Loyola Heights, Quezon City",16.5,4.0,3.0,260.0,161.0,Loyola Heights,Quezon City,Metro Manila
"Ugong Norte, Quezon City",360.0,4.0,4.0,750.0,600.0,Ugong Norte,Quezon City,Metro Manila
"Concepcion Dos, Marikina",12.0,3.0,2.0,,240.0,Concepcion Dos,Marikina,Metro Manila
"Lot 13 Blk 4, Road Lot 12, Carmel Village Phase 2 Barandal, Calamba",1.34,1.0,1.0,48.0,80.0,Barandal,Calamba,Laguna
"Brgy. Mabiga, Hermosa, Bataan Mabiga, Hermosa",28.0,3.0,3.0,500.0,7624.0,Mabiga,Hermosa,Bataan
"Matandang Balara, Quezon City",190.0,5.0,7.5,1200.0,900.0,Matandang Balara,Quezon City,Metro Manila
"Inosloban, Lipa",5.03,2.0,1.0,52.25,80.0,Inosloban,Lipa City,Batangas
"JBC Green Acre Homes Subdivision Guiguilonen, Mangaldan",7.8,5.0,4.0,153.0,210.0,Guiguilonen,Mangaldan,Pangasinan
"Pinagbuhatan, Pasig",7.5,4.0,4.0,180.0,60.0,Pinagbuhatan,Pasig,Metro Manila
"Tunasan, Muntinlupa",16.88,5.0,4.0,195.0,240.0,Tunasan,Muntinlupa,Metro Manila
"Talisay, Calatagan",12.0,4.0,3.0,300.0,2500.0,,Calatagan,Batangas
"Pansol, Quezon City",308.0,10.0,10.0,1000.0,2055.0,Pansol,Quezon City,Metro Manila
"Totolan, Dauis",8.8,3.0,3.0,99.75,153.0,Totolan,Dauis,Bohol
"Tambo, Paranaque",26.0,6.0,6.0,647.5,680.0,Tambo,Parañaque,Metro Manila
Angeles,6.8,4.0,3.0,100.0,128.0,,Angeles,Pampanga
"Banawa, Cebu",11.0,4.0,3.0,90.0,120.0,Banawa,Cebu City,Cebu
"Pilar, Las Pinas",8.2,4.0,3.0,153.7,58.7,Pilar,Las Piñas,Metro Manila
"Cupang, Antipolo",9.97,3.0,3.0,167.0,120.0,Cupang,Antipolo,Rizal
"San Miguel, Majayjay",2.25,,,160.66,109.0,San Miguel,Majayjay,Laguna
"Baliti, San Fernando",12.0,3.0,3.0,200.0,180.0,Baliti,San Fernando,Pampanga
"84F Brgy Claro Aguho Street, Project 3, Quezon City near Cubao Claro, Quezon City",6.0,5.0,2.0,120.0,60.67,Project 3,Quezon City,Metro Manila
"Guadalupe, Cebu",17.0,4.0,3.0,380.0,242.0,Guadalupe,Cebu City,Cebu
"Talibeach Balaytigui, Nasugbu",60.0,3.0,4.0,,1500.0,Balaytigui,Nasugbu,Batangas
"Maribago, Lapu-Lapu",19.5,4.0,4.0,300.0,554.0,Maribago,Lapu-Lapu,Cebu
Paranaque,3.0,2.0,1.0,104.0,52.0,,Parañaque,Metro Manila
"Governor's Dr Sabang, Naic",6.49,4.0,2.0,132.34,100.0,Sabang,Naic,Cavite
"alabang, muntinlupa Ayala Alabang, Muntinlupa",420.0,5.0,5.0,1172.0,762.0,New Alabang Village,Muntinlupa,Metro Manila
"Manuyo Dos, Las Pinas",16.5,5.0,5.0,260.0,121.0,Manuyo Dos,Las Piñas,Metro Manila
"Bitas, Cabanatuan",5.42,2.0,1.0,55.0,120.0,Bitas,Cabanatuan City,Nueva Ecija
"Maribago, Lapu-Lapu City, Central Visayas, Philippines Maribago, Lapu-Lapu",15.5,3.0,2.0,340.0,250.0,Maribago,Lapu-Lapu,Cebu
"Bitas, Cabanatuan",5.42,3.0,2.0,82.0,120.0,Bitas,Cabanatuan City,Nueva Ecija
"San Roque, Antipolo",12.5,4.0,3.0,180.0,120.0,San Roque,Antipolo,Rizal
"Almanza Dos, Las Pinas",17.5,4.0,4.0,200.0,263.0,Almanza Dos,Las Piñas,Metro Manila
"Dona. Pilar Aguirre Ave, 1750 Las Pinas, Philippines Pilar, Las Pinas",8.5,5.0,4.0,160.0,80.0,Pilar,Las Piñas,Metro Manila
"Longos, Malolos",2.07,2.0,1.0,64.8,63.0,Longos,Malolos,Bulacan
"Dela Paz, Antipolo",14.0,4.0,3.0,240.0,173.0,Dela Paz,Antipolo,Rizal
"San Luis, Antipolo",5.02,3.0,2.0,61.0,70.0,San Luis,Antipolo,Rizal
"Ayala Alabang, Muntinlupa",440.0,7.0,7.0,1232.0,816.0,New Alabang Village,Muntinlupa,Metro Manila
"Along United Nation St. Betterliving Subdivision Don Bosco, Paranaque",14.0,4.0,4.0,180.0,140.0,Don Bosco,Parañaque,Metro Manila
"Ortigas Avenue, Pasig",16.0,9.0,4.0,190.0,240.0,,Pasig,Metro Manila
"San Antonio, Santo Tomas",5.09,,,192.0,156.0,San Antonio,Mexico,Pampanga
"Pinagbayanan, Pila",3.89,,,284.96,339.0,Pinagbayanan,Pila,Laguna
"Ayala Alabang, Muntinlupa",460.0,7.0,7.0,900.0,1500.0,New Alabang Village,Muntinlupa,Metro Manila
San Juan,13.55,3.0,3.0,100.0,200.0,,San Juan City,Metro Manila
"Antero Soriano Hiway, Sahud-Ulan, Tanza Cavite Sahud Ulan, Tanza",1.95,3.0,2.0,40.0,45.0,Sahud-Ulan,Tanza,Cavite
"Buhangin, Davao",3.8,2.0,2.0,93.0,60.0,Buhangin,Davao City,Davao del Sur
"Batinguel, Dumaguete City, Central Visayas, Philippines Batinguel, Dumaguete",12.5,5.0,3.0,500.0,938.0,Batinguel,Dumaguete City,Negros Oriental
"Clark, Mabalacat",57.0,5.0,5.0,338.0,1187.0,,Mabalacat City,Pampanga
"Ayala Alabang, Muntinlupa",32.43,7.0,7.0,1500.0,900.0,New Alabang Village,Muntinlupa,Metro Manila
"Talon Dos, Las Pinas",5.25,,,93.0,52.0,Talon Dos,Las Piñas,Metro Manila
"Dauis - Panglao Rd, Dao, Panglao, 6340 Bohol Dao, Dauis",4.0,3.0,2.0,60.0,120.0,Dao,Dauis,Bohol
"9 Rocha, Makati, 1223 Kalakhang Maynila San Lorenzo, Makati",179.0,3.0,3.0,448.0,,San Lorenzo,Makati City,Metro Manila
"Inarawan, Antipolo",18.0,4.0,3.0,265.0,475.0,Inarawan,Antipolo,Rizal
"Kapitolyo, Pasig",25.8,3.0,3.0,212.0,113.0,Kapitolyo,Pasig,Metro Manila
"Tapia, General Trias",2.13,3.0,1.0,40.0,50.0,Tapia,General Trias,Cavite
"Magallanes Village, Makati Magallanes, Makati",118.0,3.0,3.0,300.0,350.0,Magallanes,Makati City,Metro Manila
"Dauis - Panglao Rd, Dao, Panglao, 6340 Bohol Dao, Dauis",6.7,3.0,2.0,81.0,180.0,Dao,Dauis,Bohol
"Polo Maestra Bita, Oton",4.22,,,123.0,191.0,Polo Maestra Bita,Oton,Iloilo
"Carsadang Bago I, 4103 Imus, Philippines Carsadang Bago I, Imus",4.0,3.0,2.0,65.0,85.0,Carsadang Bago I,Imus,Cavite
"Muntinlupa, National Capital Region, Philippines Ayala Alabang, Muntinlupa",420.0,5.0,6.0,1600.0,868.0,New Alabang Village,Muntinlupa,Metro Manila
"Onse, San Juan",39.5,4.0,3.0,500.0,287.0,Onse,San Juan City,Metro Manila
"Block 20 Lot 10 Copper St., Avida Village Cerise Nuvali Canlubang, Calamba",5.0,2.0,1.0,60.0,110.0,Barangay Canlubang,Calamba,Laguna
"Phase 2 Block 22 Lot 5 (10 Apitong St.) Verdana Homes Mamplasan Langkiwa, Binan",21.5,4.0,3.5,250.0,200.0,Langkiwa,Biñan,Laguna
"Bali Mansion Inchican, Silang",35.0,4.0,5.0,368.0,277.0,Inchican,Silang,Cavite
"Kaligayahan, Quezon City",10.28,5.0,3.0,220.0,77.0,Kaligayahan,Quezon City,Metro Manila
Angeles,22.0,3.0,3.0,200.0,250.0,,Angeles,Pampanga
"Culiat, Quezon City",35.0,4.0,3.0,350.0,496.0,Culiat,Quezon City,Metro Manila
"B.F. Homes, Paranaque",33.0,5.0,4.0,288.0,300.0,B. F. Homes,Parañaque,Metro Manila
"Poblacion, Muntinlupa",3.95,3.0,2.0,65.0,50.0,Poblacion,Muntinlupa,Metro Manila
"B.F. Homes, Paranaque",45.0,5.0,5.0,375.0,280.0,B. F. Homes,Parañaque,Metro Manila
"San Vicente, San Pedro",4.9,2.0,1.0,61.0,70.0,San Vicente,San Pedro,Laguna
"B.F. Homes, Paranaque",26.0,4.0,4.0,350.0,289.0,B. F. Homes,Parañaque,Metro Manila
"Tunasan, Muntinlupa, National Capital Region, Philippines Tunasan, Muntinlupa",52.0,6.0,4.5,480.0,500.0,Tunasan,Muntinlupa,Metro Manila
"Candau-Ay, Dumaguete City, Central Visayas, Philippines Candau-Ay, Dumaguete",5.5,2.0,2.0,110.0,121.0,Candau-ay,Dumaguete City,Negros Oriental
"Ayala Heights, Quezon City",188.0,6.0,6.0,910.0,510.0,Ayala Heights,Quezon City,Metro Manila
